Account Type Description,Customer Type Description ,Beneficiary bank ,Region ,Areas
AGRI RUNNING FINANCE,LISTED PUBLIC LTD(PUBLIC NATIONAL),Al-Barkah bank,Karachi,Saddar
ASAAN ACCOUNT (CURRENT),PARTNERSHIP FIRM                   ,Allied Bank,Default,Court Area
ASAAN ACCOUNT (MINOR),INSURANCE COMPANY                 ,Bank Al-Habib,Hyderabad,Plaza
Asaan Digital Account (ADA),HBL STAFF                         ,Bank Islami,Sukkur,Default
Asaan Digital Remittance (ADRA),INDIVIDUAL                         ,Citi Bank,Peshawar,DHS
BASIC BANKING ACCOUNT,FINANCE COMPANY                   ,Dubai Islamic,Quetta,HB Annexe Area
BB AGENT ACCOUNT,MODARBA COMPANY                   ,Finca Microfinance,Multan,Gulshan
Blue Collar RDA CD A/C,MINOR                             ,First Microfinance,Bahawalpur,Garden
CASH FINANCE,LEASING/HIRE PURCHASE CO.         ,Industrial & Commercial Bank China,Sahiwal,Closed Karachi
CONSUMER ISLAMIC NON-CHEQUEING A/C,CENTRAL BANK                       ,Jahangir Siddiqui,Islamabad,Korangi
CONSUMER NON-CHEQUEING A/C,OTHER FINANCIAL INSTITUTION       ,KENU,Faisalabad,FB Area
CURRENT A/C,INDIVIDUAL SALARIED               ,Kushali Bank,Gujranwala,Nursery Area
DAILY MUNAFA ACCOUNT(DMA),INTERNAL ACCOUNTS,Mobilink Microfinance,Gujrat,Sind Secretariate Area
DISTRIBUTOR FINANCE,DIPLOMAT                           ,Muslim Commercial,Sargodha,Independent Karachi
EBANC BY HBL Current accounts,PROVINCIAL GOVERNMENT             ,National Bank,Jhelum,Hyderi Area
EBANC BY HBL Local,FEDERAL GOVERNMENT                 ,National Savings,Lahore,Malir
eBanc Islamic Roshan Digital (PKR),PUBLIC MULTI NATIONAL CO           ,Sada Pay,Sialkot,Mirpurkhas Area
eBanc Islamic Roshan Digital (USD),PUBLIC SEC-CORP/AUTONOMOUS BODY   ,Samba Bank,Mirpur,Hyderabad City Area
eBanc Roshan Digital A/C (PKR),GOVERNMENT BANK                   ,Sindh Bank,Mardan,Universities Area
eBanc Roshan Digital A/C (USD),NULL,Soneri Bank,Muzaffarabad,Kashmore
eBanc Roshan Digital Account (EUR),UNLISTED PUBLIC LTD (PUBLIC LOCAL),Sumit Bank,,Khairpur
eBanc Roshan Digital Account (GBP),EXCHANGE DEALER / COMPANY         ,Tameer Micro Finance,,Larkana
FREELANCER DIGITAL Account,CLUB/ASSOCIATION/TRUST/ETC(NON PRO),Zarai Taraqiati,,Dadu
Govt Pensioners A/C Curr,BROCKER/AGENT                     ,,,Nawabshah Area
Govt Pensioners A/C SAVG,INTERNATIONAL ORGANIZATION         ,,,Sukkur
HBL AL-IRTIFA ACCOUNT-DPA,INDIVIDUAL BUSINESS               ,,,Badin-Thatta Area
HBL AL-MUKHTAR (FREEDOM),INVESTMENT BANK                   ,,,Latifabad-Autobhan Area
HBL Asaan Finance,HBL OVERSEAS BRANCH               ,,,Peshawar-City
HBL AT WORK CURRENT A/C,FOREIGN MISSION                   ,,,F.F.C. Mirpur Mathelo
HBL AT WORK ISLAMIC PRIMIUM,SINGLE MEMBER COMPANY             ,,,Zarghoon
HBL AT WORK PLS SAVINGS,HBL JOINT VENTURE                 ,,,Muzaffargarh
HBL FreedomAccount,PRIVATE LTD CO(PRIVATE NATIONAL CO,,,Farid Gate
HBL HARYALI ACCOUNT,MICRO FINANCE BANK                 ,,,D.I. Khan
HBL HAW-PENSION A C,REPRESENTATIVE OFFICE             ,,,Burewala
HBL iD,CORRESPONDENT BANK                 ,,,Gm Chishtian
HBL ISLAMIC PLS ACCOUNT,PROPRIETORSHIP FIRM(PRIVATE LOCAL),,,DG Khan Area
HBL ISLAMIC RUTBA,HBL BRANCHES                       ,,,Gilgit
HBL MAHANA AMDAN,SUNDRY CUSTOMER                   ,,,Toba Tek Singh Area
HBL MONEY CLUB,ASSETS MANAGEMENT COMPANY         ,,,Bank Square Gujranwala
HBL NISA ASAAN ACCOUNT,PRIVATE MULTINATIONAL CO           ,,,Gujrat City
HBL POS RUNNING FINANCE,LOCAL GOVERNMENT                   ,,,Blue Area
HBL ReadyCash,HBL DOMESTIC SUBSIDIARY           ,,,Khushab
HBL RUTBA ACCOUNTS,COMMERCIAL BANK       ,,,Jhung
HBL Small Business Running Finance,,,,Jhelum-Cantt
HBL SWIFT RUNING FINANCE (CONSUMER),,,,Ram Din Bazaar
HBL URAAN MINOR,,,,Samundri
HBL VALUE ACCOUNT,,,,Khanewal
HBL-DAILY PROGRESSIVE ACCOUNT (DPA),,,,Kasur
ISLAMIC ASAAN ACCOUNT (CURRENT),,,,Mall Area
ISLAMIC ASAAN ACCOUNT (MINOR),,,,Shadbagh Area
ISLAMIC ASAAN DIG REMIT(IADRA),,,,Davis Road
ISLAMIC ASAAN DIGITAL (IADA),,,,Cantonment Area
ISLAMIC BASIC BANKING ACCOUNT(BBA),,,,Old City
ISLAMIC CURRENT ACCOUNT,,,,Closed Lahore
ISLAMIC FREELANCER DIGITAL ACCOUNT,,,,Layyah
ISLAMIC NON CEHQUEING A/C,,,,Mianwali
Nisa Plus Current Account,,,,Shujabad Area
Nisa Saving Account,,,,Pmc
NISA TAWFIR ISLAMIC ACCOUNT,,,,Gole Cloth Market
Nominated M-up Reciveable (Mov A/c),,,,Vehari Area
Nominated M-up Reciveable(Agri A/c),,,,Sahiwal Commercial
Non Checking AC ReadyCash,,,,Hussain Agahi Multan
NON-CHEQUEING A/C.,,,,Murree
NOSTRO ACCOUNTS,,,,Okara
PLS-SAVINGS CHEQUING A/C,,,,Kutchery Bazar
RUNNING FINANCE,,,,Satellite Town Islamabad
RUNNING MUSHARAKAH,,,,SDV
RURAL VALUE CHAIN,,,,Shahi Road Ryk
RURAL VALUE CHAIN SME,,,,Paf
SCF Running Finance,,,,City
SPECIAL SAVING DEPOSITS,,,,Talagang
STAFF ISLAMIC PLS ACCOUNT,,,,Wah
STAFF SALARY ACCOUNT,,,,Khanpur Gm
STAFF SAVING ACCOUNTS,,,,Gulberg Area
SUNDRY WALK IN CUSTOMER-PA,,,,Samanabad
,,,,M B Din
,,,,Muridke
,,,,Chichawatni
,,,,Allama Iqbal Town Area
,,,,Hafizabad
,,,,Pattoki
,,,,Quetta City
,,,,Jatlan
,,,,Pindi Gheb
,,,,Mirpur
,,,,Charsadda
,,,,Pakpattan
,,,,Model Town Area
,,,,Dadyal
,,,,Swabi
,,,,Sheikhupura
,,,,Jaranwala
,,,,Cantt Multan
,,,,Bannu
,,,,Kohat
,,,,Mardan
,,,,Mingora
,,,,Nowshera
,,,,Peshawar-Cantt
,,,,Hangu
,,,,Rawalakot
,,,,Daska
,,,,Narowal
,,,,Lalamusa
,,,,Shakarghar
,,,,Model Town Gujranwala
,,,,Attock
,,,,Sahiwal Rural
,,,,Chakdara
,,,,Abbottabad
,,,,Bhimber
,,,,Kutchery Chowk
,,,,I-8
,,,,Circular Road
,,,,Kharian
,,,,Bunir
,,,,Qamc Bahawalpur
,,,,Timergara
,,,,Bhoun Chowk Chakwal
,,,,Chitral
,,,,Dina
,,,,Jalalpur Jattan
,,,,Gulistan-e-Johar
,,,,Kashmir Road
,,,,Muzaffarabad
,,,,G.T. Road Gujar Khan
,,,,Johar Town
,,,,Chakswari
,,,,Wazirabad
,,,,Kallar Sayidan
,,,,Hasilpur
,,,,Madina Town
,,,,Skardu
,,,,Dargai
,,,,Makran
,,,,Cantt
,,,,Pallandri
,,,,Kotli
,,,,Independent Islamabad
,,,,Shahdara
,,,,Neikapura
,,,,Sarai Alamgir
,,,,Gillwala
,,,,Mangowal
,,,,Independent
,,,,Satellite Town Gujranwala
,,,,Dha
,,,,Bagh
,,,,F-7
,,,,Closed Multan
,,,,Closed Islamabad
,,,,-
